zone_id,name,geometry
12009,M10 - 3219,"POLYGON ((-111.933006 33.419003, -111.932007 33.419003, -111.932007 33.418003, -111.933006 33.418003, -111.933006 33.419003))"
12010,M11 - 15064,"POLYGON ((-111.933006 33.418003, -111.932007 33.418003, -111.932007 33.417000, -111.933006 33.417000, -111.933006 33.418003))"
12012,M13 - 6088,"POLYGON ((-111.933006 33.416000, -111.932007 33.416000, -111.932007 33.415001, -111.933006 33.415001, -111.933006 33.416000))"
12013,M14 - 6068,"POLYGON ((-111.933006 33.415001, -111.932007 33.415001, -111.932007 33.414001, -111.933006 33.414001, -111.933006 33.415001))"
12014,M15 - 8332,"POLYGON ((-111.933006 33.414001, -111.932007 33.414001, -111.932007 33.413002, -111.933006 33.413002, -111.933006 33.414001))"
12015,M16 - 874,"POLYGON ((-111.933006 33.413002, -111.932007 33.413002, -111.932007 33.412003, -111.933006 33.412003, -111.933006 33.413002))"
12016,M17 - 822,"POLYGON ((-111.933006 33.412003, -111.932007 33.412003, -111.932007 33.411003, -111.933006 33.411003, -111.933006 33.412003))"
12018,M19 - 16477,"POLYGON ((-111.933006 33.410000, -111.932007 33.410000, -111.932007 33.409000, -111.933006 33.409000, -111.933006 33.410000))"
13003,N4 - 16376,"POLYGON ((-111.932007 33.425003, -111.931007 33.425003, -111.931007 33.424000, -111.932007 33.424000, -111.932007 33.425003))"
13004,N5 - 10471,"POLYGON ((-111.932007 33.424000, -111.931007 33.424000, -111.931007 33.423000, -111.932007 33.423000, -111.932007 33.424000))"
13005,N6 - 5832,"POLYGON ((-111.932007 33.423000, -111.931007 33.423000, -111.931007 33.422001, -111.932007 33.422001, -111.932007 33.423000))"
13006,N7 - 5782,"POLYGON ((-111.932007 33.422001, -111.931007 33.422001, -111.931007 33.421001, -111.932007 33.421001, -111.932007 33.422001))"
